,0
0,N=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2[nH]ccc2c1
1,N=C1CN(c2ccc3[nH]cnc3c2)C(=O)N1
2,c1ccc2[nH]cnc2c1
3,N=C1CNC(=O)N1
4,N=C1NC(=O)NC1c1ccc2[nH]ccc2c1
5,c1ccc2[nH]ccc2c1
6,O=C1NC(=NC2CCCC2)C(c2ccc(N3CCCC3)cc2)N1c1ccc2[nH]cnc2c1
7,O=C1NC(=NC2CCCC2)C(c2ccccc2)N1c1ccc2[nH]cnc2c1
8,O=C1NC(=NC2CCCC2)CN1c1ccc2[nH]cnc2c1
9,O=C1NCC(=NC2CCCC2)N1
10,C1CCCC1
11,O=C1NC(=NC2CCCC2)C(c2ccccc2)N1
12,N=C1NC(=O)NC1c1ccccc1
13,c1ccccc1
14,N=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccccc1
15,O=C1NC(=NC2CCCC2)C(c2ccc(N3CCCC3)cc2)N1
16,N=C1NC(=O)NC1c1ccc(N2CCCC2)cc1
17,c1ccc(N2CCCC2)cc1
18,C1CCNC1
19,N=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc(N2CCCC2)cc1
20,S=C1NC(=NCn2nnc3ccccc32)C(c2ccccc2)N1c1ccc2[nH]cnc2c1
21,S=C1NC(=NCn2nnc3ccccc32)CN1c1ccc2[nH]cnc2c1
22,S=C1NCC(=NCn2nnc3ccccc32)N1
23,c1ccc2[nH]nnc2c1
24,N=C1CNC(=S)N1
25,N=C1CN(c2ccc3[nH]cnc3c2)C(=S)N1
26,S=C1NC(=NCn2nnc3ccccc32)C(c2ccccc2)N1
27,N=C1NC(=S)NC1c1ccccc1
28,N=C1NC(=S)N(c2ccc3[nH]cnc3c2)C1c1ccccc1
29,O=C1CCCN1CCCN=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2nsnc2c1
30,O=C1CCCN1CCCN=C1CN(c2ccc3[nH]cnc3c2)C(=O)N1
31,O=C1NCC(=NCCCN2CCCC2=O)N1
32,O=C1CCCN1
33,O=C1NC(=NCCCN2CCCC2=O)C(c2ccc3nsnc3c2)N1
34,N=C1NC(=O)NC1c1ccc2nsnc2c1
35,c1ccc2nsnc2c1
36,N=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2nsnc2c1
37,O=C1NC(=NCc2ccccc2)C(c2ccccc2)N1c1ccc2[nH]cnc2c1
38,O=C1NC(=NCc2ccccc2)CN1c1ccc2[nH]cnc2c1
39,O=C1NCC(=NCc2ccccc2)N1
40,O=C1NC(=NCc2ccccc2)C(c2ccccc2)N1
41,O=C1NC(=NCCCN2CCOCC2)C(c2ccc3[nH]ccc3c2)N1c1ccc2[nH]cnc2c1
42,O=C1NC(=NCCCN2CCOCC2)CN1c1ccc2[nH]cnc2c1
43,O=C1NCC(=NCCCN2CCOCC2)N1
44,C1COCCN1
45,O=C1NC(=NCCCN2CCOCC2)C(c2ccc3[nH]ccc3c2)N1
46,O=C1CCCN1CCCN=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2c(c1)OCO2
47,O=C1NC(=NCCCN2CCCC2=O)C(c2ccc3c(c2)OCO3)N1
48,N=C1NC(=O)NC1c1ccc2c(c1)OCO2
49,c1ccc2c(c1)OCO2
50,N=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2c(c1)OCO2
51,O=C1NC(=NCc2ccc3[nH]ccc3c2)C(c2ccccc2)N1c1ccc2[nH]cnc2c1
52,O=C1NC(=NCc2ccc3[nH]ccc3c2)CN1c1ccc2[nH]cnc2c1
53,O=C1NCC(=NCc2ccc3[nH]ccc3c2)N1
54,O=C1NC(=NCc2ccc3[nH]ccc3c2)C(c2ccccc2)N1
55,O=C1NC(=NC2CCCC2)C(c2ccc3ccccc3c2)N1c1ccc2[nH]cnc2c1
56,O=C1NC(=NC2CCCC2)C(c2ccc3ccccc3c2)N1
57,N=C1NC(=O)NC1c1ccc2ccccc2c1
58,c1ccc2ccccc2c1
59,N=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2ccccc2c1
60,O=C1NC(=NCn2nnc3ccccc32)C(c2ccc3[nH]ccc3c2)N1c1ccc2[nH]cnc2c1
61,O=C1NC(=NCn2nnc3ccccc32)CN1c1ccc2[nH]cnc2c1
62,O=C1NCC(=NCn2nnc3ccccc32)N1
63,O=C1NC(=NCn2nnc3ccccc32)C(c2ccc3[nH]ccc3c2)N1
64,O=C1NC(=NCc2ccccc2)C(c2ccccc2)N1c1ccc2nc[nH]c2c1
65,O=C1NC(=NCc2ccccc2)CN1c1ccc2nc[nH]c2c1
66,N=C1CN(c2ccc3nc[nH]c3c2)C(=O)N1
67,N=C1NC(=O)N(c2ccc3nc[nH]c3c2)C1c1ccccc1
68,O=C1NC(=NC2CCCCC2)C(c2ccc3c(c2)OCO3)N1c1ccc2nc[nH]c2c1
69,O=C1NC(=NC2CCCCC2)CN1c1ccc2nc[nH]c2c1
70,O=C1NCC(=NC2CCCCC2)N1
71,C1CCCCC1
72,O=C1NC(=NC2CCCCC2)C(c2ccc3c(c2)OCO3)N1
73,N=C1NC(=O)N(c2ccc3nc[nH]c3c2)C1c1ccc2c(c1)OCO2
74,O=C1NC(=NC2CCCCC2)C(c2ccccc2)N1c1ccc2[nH]cnc2c1
75,O=C1NC(=NC2CCCCC2)CN1c1ccc2[nH]cnc2c1
76,O=C1NC(=NC2CCCCC2)C(c2ccccc2)N1
77,O=C1NC(=NC2CCc3ccccc32)C(c2coc3ccccc3c2=O)N1c1ccc2[nH]cnc2c1
78,O=C1NC(=NC2CCc3ccccc32)CN1c1ccc2[nH]cnc2c1
79,O=C1NCC(=NC2CCc3ccccc32)N1
80,c1ccc2c(c1)CCC2
81,O=C1NC(=NC2CCc3ccccc32)C(c2coc3ccccc3c2=O)N1
82,N=C1NC(=O)NC1c1coc2ccccc2c1=O
83,O=c1ccoc2ccccc12
84,N=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1coc2ccccc2c1=O
85,O=C1NC(=NC2CCc3ccccc32)C(c2ccc3[nH]ccc3c2)N1c1ccc2[nH]cnc2c1
86,O=C1NC(=NC2CCc3ccccc32)C(c2ccc3[nH]ccc3c2)N1
87,O=C1NC(=NCCc2c[nH]c3ccccc23)C(c2ccccc2)N1c1ccc2[nH]cnc2c1
88,O=C1NC(=NCCc2c[nH]c3ccccc23)CN1c1ccc2[nH]cnc2c1
89,O=C1NCC(=NCCc2c[nH]c3ccccc23)N1
90,O=C1NC(=NCCc2c[nH]c3ccccc23)C(c2ccccc2)N1
91,O=C1NC(=NCCCc2ccccc2)C(c2ccc3[nH]ccc3c2)N1c1ccc2[nH]cnc2c1
92,O=C1NC(=NCCCc2ccccc2)CN1c1ccc2[nH]cnc2c1
93,O=C1NCC(=NCCCc2ccccc2)N1
94,O=C1NC(=NCCCc2ccccc2)C(c2ccc3[nH]ccc3c2)N1
95,O=C1NC(=NC2CCCC2)C(c2ccc3[nH]ccc3c2)N1c1ccc2[nH]cnc2c1
96,O=C1NC(=NC2CCCC2)C(c2ccc3[nH]ccc3c2)N1
97,O=C1NC(=NCc2ccccc2)C(c2c[nH]c3ccccc23)N1c1ccc2[nH]cnc2c1
98,O=C1NC(=NCc2ccccc2)C(c2c[nH]c3ccccc23)N1
99,N=C1NC(=O)NC1c1c[nH]c2ccccc12
100,N=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1c[nH]c2ccccc12
101,O=C1NC(=Nc2ccc3c(c2)OCCO3)C(c2ccc3c(c2)OCCO3)N1c1ccc2[nH]cnc2c1
102,O=C1NC(=Nc2ccc3c(c2)OCCO3)CN1c1ccc2[nH]cnc2c1
103,O=C1NCC(=Nc2ccc3c(c2)OCCO3)N1
104,c1ccc2c(c1)OCCO2
105,O=C1NC(=Nc2ccc3c(c2)OCCO3)C(c2ccc3c(c2)OCCO3)N1
106,N=C1NC(=O)NC1c1ccc2c(c1)OCCO2
107,N=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2c(c1)OCCO2
108,O=C1NC(=NC2CCCCC2)C(c2ccc3nsnc3c2)N1c1ccc2[nH]cnc2c1
109,O=C1NC(=NC2CCCCC2)C(c2ccc3nsnc3c2)N1
110,O=C1CCCN1CCCN=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccccc1
111,O=C1NC(=NCCCN2CCCC2=O)C(c2ccccc2)N1
112,O=C1NC(=NC2CCc3ccccc32)C(c2ccccc2)N1c1ccc2[nH]cnc2c1
113,O=C1NC(=NC2CCc3ccccc32)C(c2ccccc2)N1
114,O=C1CCCN1CCCN=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2[nH]ccc2c1
115,O=C1NC(=NCCCN2CCCC2=O)C(c2ccc3[nH]ccc3c2)N1
116,O=C1NC(=NC2CCCCCC2)C(c2ccccc2)N1c1ccc2nc[nH]c2c1
117,O=C1NC(=NC2CCCCCC2)CN1c1ccc2nc[nH]c2c1
118,O=C1NCC(=NC2CCCCCC2)N1
119,C1CCCCCC1
120,O=C1NC(=NC2CCCCCC2)C(c2ccccc2)N1
121,O=C1NC(=NCCCc2ccccc2)C(c2ccccc2)N1c1ccc2[nH]cnc2c1
122,O=C1NC(=NCCCc2ccccc2)C(c2ccccc2)N1
123,O=C1NC(=NCCc2cccs2)C(c2ccc3c(c2)OCO3)N1c1ccc2nc[nH]c2c1
124,O=C1NC(=NCCc2cccs2)CN1c1ccc2nc[nH]c2c1
125,O=C1NCC(=NCCc2cccs2)N1
126,c1ccsc1
127,O=C1NC(=NCCc2cccs2)C(c2ccc3c(c2)OCO3)N1
128,O=C1CCCN1CCCN=C1NC(=O)N(c2ccc3nc[nH]c3c2)C1c1ccccc1
129,O=C1CCCN1CCCN=C1CN(c2ccc3nc[nH]c3c2)C(=O)N1
130,O=C1NC(=NC(Cc2ccccc2)c2ccccc2)C(c2ccc3c(c2)OCO3)N1c1ccc2[nH]cnc2c1
131,O=C1NC(=NC(Cc2ccccc2)c2ccccc2)CN1c1ccc2[nH]cnc2c1
132,O=C1NCC(=NC(Cc2ccccc2)c2ccccc2)N1
133,c1ccc(CCc2ccccc2)cc1
134,O=C1NCC(=NCCc2ccccc2)N1
135,O=C1NC(=NCCc2ccccc2)CN1c1ccc2[nH]cnc2c1
136,O=C1NC(=NC(Cc2ccccc2)c2ccccc2)C(c2ccc3c(c2)OCO3)N1
137,O=C1NC(=NCCc2ccccc2)C(c2ccc3c(c2)OCO3)N1
138,O=C1NC(=NCc2ccccc2)C(c2ccc3c(c2)OCO3)N1
139,O=C1NC(=NCCc2ccccc2)C(c2ccc3c(c2)OCO3)N1c1ccc2[nH]cnc2c1
140,O=C1NC(=NCc2ccccc2)C(c2ccc3c(c2)OCO3)N1c1ccc2[nH]cnc2c1
141,O=C(CN=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2c(c1)OCO2)N1CCCCC1
142,O=C(CN=C1CN(c2ccc3[nH]cnc3c2)C(=O)N1)N1CCCCC1
143,O=C1NCC(=NCC(=O)N2CCCCC2)N1
144,C1CCNCC1
145,O=C1NC(=NCC(=O)N2CCCCC2)C(c2ccc3c(c2)OCO3)N1
146,O=C1NC(=Nc2ccc3c(c2)OCCO3)C(c2ccccc2)N1c1ccc2[nH]cnc2c1
147,O=C1NC(=Nc2ccc3c(c2)OCCO3)C(c2ccccc2)N1
148,O=C1NC(=NC2CCCc3ccccc32)C(c2ccccc2)N1c1ccc2[nH]cnc2c1
149,O=C1NC(=NC2CCCc3ccccc32)CN1c1ccc2[nH]cnc2c1
150,O=C1NCC(=NC2CCCc3ccccc32)N1
151,c1ccc2c(c1)CCCC2
152,O=C1NC(=NC2CCCc3ccccc32)C(c2ccccc2)N1
153,O=C1NC(=NC(Cc2ccccc2)c2ccccc2)C(c2ccccc2)N1c1ccc2[nH]cnc2c1
154,O=C1NC(=NC(Cc2ccccc2)c2ccccc2)C(c2ccccc2)N1
155,O=C1NC(=NCCc2ccccc2)C(c2ccccc2)N1
156,O=C1NC(=NCCc2ccccc2)C(c2ccccc2)N1c1ccc2[nH]cnc2c1
157,O=C1C=CC(c2ccco2)N1c1ccc2[nH]cnc2c1
158,O=C1C=CCN1c1ccc2[nH]cnc2c1
159,O=C1C=CCN1
160,O=C1C=CC(c2ccco2)N1
161,c1ccoc1
162,O=C1C=C(c2ccccc2)C(c2ccc3nsnc3c2)N1c1ccc2[nH]cnc2c1
163,O=C1C=CC(c2ccc3nsnc3c2)N1c1ccc2[nH]cnc2c1
164,O=C1C=CC(c2ccc3nsnc3c2)N1
165,O=C1C=C(c2ccccc2)CN1c1ccc2[nH]cnc2c1
166,O=C1C=C(c2ccccc2)CN1
167,O=C1C=C(c2ccccc2)C(c2ccc3nsnc3c2)N1
168,O=C(C1=CC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2nsnc2c1)C1CC1
169,O=C(C1=CC(=O)N(c2ccc3[nH]cnc3c2)C1)C1CC1
170,O=C1C=C(C(=O)C2CC2)CN1
171,C1CC1
172,O=C1C=C(C(=O)C2CC2)C(c2ccc3nsnc3c2)N1
173,O=C1C=CC(C2COCO2)N1c1ccc2[nH]cnc2c1
174,O=C1C=CC(C2COCO2)N1
175,C1COCO1
176,O=C1C=CC(c2ccc3ccccc3n2)N1c1ccc2[nH]cnc2c1
177,O=C1C=CC(c2ccc3ccccc3n2)N1
178,c1ccc2ncccc2c1
