,0
95,O=C(NC1CCNCC1)c1ccc(NC(=S)NCCCn2ccnc2)cc1
96,O=C(NC1CCNCC1)c1ccccc1
97,O=C(CCCOc1ccc(NC(=S)NCCCn2ccnc2)cc1)NC1CCNCC1
98,O=C(CCCOc1ccccc1)NC1CCNCC1
99,O=C(NCCCn1ccnc1)Nc1ccc(OCCc2ccncc2)cc1
100,S=C(NCCCn1ccnc1)Nc1ccc(OCCCNc2ncccn2)cc1
101,c1ccc(OCCCNc2ncccn2)cc1
102,S=C(NCCCn1ccnc1)Nc1ccc(OCCCCc2cncnc2)cc1
103,c1ccc(OCCCCc2cncnc2)cc1
104,S=C(NCCCn1ccnc1)Nc1cccc(OCCN2CCNCC2)c1
105,S=C(NCCCn1ccnc1)Nc1ccc(OCCCCc2ccccn2)cc1
106,c1ccc(OCCCCc2ccccn2)cc1
107,S=C(NCCCn1ccnc1)Nc1ccc(OCCCCc2cccnc2)cc1
108,c1ccc(OCCCCc2cccnc2)cc1
109,S=C(NCCCn1ccnc1)Nc1ccc(OCCCc2cncnc2)cc1
110,c1ccc(OCCCc2cncnc2)cc1
111,S=C(NCCCn1ccnc1)Nc1ccc(OCCN2CCN(c3ccccc3)CC2)cc1
112,c1ccc(OCCN2CCN(c3ccccc3)CC2)cc1
113,S=C(NCCCn1ccnc1)Nc1ccc(OCCN2CCCCC2)cc1
114,c1ccc(OCCN2CCCCC2)cc1
115,S=C(NCCCn1ccnc1)Nc1cccc(OCCc2ccncc2)c1
116,S=C(NCCCn1ccnc1)Nc1ccc(OCCNc2ncccn2)cc1
117,c1ccc(OCCNc2ncccn2)cc1
118,O=C(COc1ccc(NC(=S)NCCCn2ccnc2)cc1)NCc1ccncc1
119,O=C(COc1ccccc1)NCc1ccncc1
120,S=C(NCCCn1ccnc1)Nc1ccc2c(c1)OCCO2
121,c1ccc2c(c1)OCCO2
