SMILES,pIC50
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCC3CCNCC3,7.860120914
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCC3CCNCC3,8.142667504
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCC3CCNCC3,8.107905397
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCC3CCN(C)CC3,8.337242168
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCC3CCN(C)CC3,7.694648631
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCC3CCN(C)CC3,7.910094889
COC1=C(OCCC2=CC=C(N)C=C2)C=CC(NC(NCCCN3C=NC=C3C)=S)=C1,8.113509275
S=C(NC1=CC(OC)=C(OCCCC2=CC=C(N)C=C2)C=C1)NCCCN3C(C)=CN=C3,8.045757491
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCC3=CC=C(N)C=C3)C=C2)=S,8.080921908
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCC3=CC=NC=C3,7.628932138
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCC3=CC=NC=C3,7.841637508
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCC3=CC=NC=C3)C=C2)=S,8.040958608
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCC3=CC=CN=C3,7.70333481
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCC3=CC=NC(N)=C3,8.259637311
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCC3=CC(N)=NC=C3,7.970616222
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCC3=CC=NC(N)=C3)C=C2)=S,8.346787486
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCC3=CC=NC(NC(C)=O)=C3,7.721246399
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCC3=CC(N)=NC(N)=C3)C=C2)=S,6.778325003
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCCC3=CC(N)=NC(N)=C3)C=C2)=S,7.815308569
S=C(NCCCN1C=NC=C1C)NC2=CC=C(OCCCCC3=CC=CC(N)=N3)C(OC)=C2,7.714442691
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCC3=CN=CN=C3,7.449771647
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCC3=CN=CN=C3,7.671620397
CC1=CN=CN1CCCNC(NC2=CC(OC)=C(OCCCC3=CN=C(N)N=C3)C=C2)=S,7.688246139
COC1=CC(NC(NCCCN2C=NC=C2C)=S)=CC=C1OCCCCC3=CN=C(N)N=C3,7.735182177
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCNCC3)C(OC)=C2,9.15490196
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCNCC3C)C(OC)=C2,8.236572006
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CC(C)NC(C)C3)C(OC)=C2,8.004364805
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(C(C)=O)CC3)C(OC)=C2,7.511449283
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(CCO)CC3)C(OC)=C2,8.13076828
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCN3CCN(CCO)CC3)C(OC)=C2,7.628932138
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCN3CCN(CCO)CC3)C(OC)=C2,8.318758763
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(CCN)CC3)C(OC)=C2,8.124938737
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCN3CCN(CCN)CC3)C(OC)=C2,8.420216403
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCCCN3CCN(CCN)CC3)C(OC)=C2,8.065501549
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(CCOCCO)CC3)C(OC)=C2,7.761953897
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(CCOCCN)CC3)C(OC)=C2,8.443697499
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(C4=CC=CC=C4)CC3)C(OC)=C2,7.665546249
S=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCN(CC4=CC=CC=C4)CC3)C(OC)=C2,7.896196279
