,0
134,O=C(NCCCc1ccc2[nH]cnc2c1)NCc1cccnc1
135,O=C(NCCCc1ccc2[nH]cnc2c1)N(c1ccc(OCCCCc2ccncc2)cc1)C1CCNCC1
136,O=C(NCCCc1ccc2[nH]cnc2c1)N(c1ccccc1)C1CCNCC1
137,O=C(NCCCc1ccc2[nH]cnc2c1)NC1CCNCC1
138,O=C(NCCCn1ccnc1)C1(c2ccc(OCCCCc3ccncc3)cc2)CCC1
139,c1cc(CCCCOc2ccc(C3CCC3)cc2)ccn1
140,c1ccc(C2CCC2)cc1
141,O=C(NCCCn1ccnc1)C1(c2ccccc2)CCC1
142,O=C(NCCCn1ccnc1)C1CCC1
143,O=C(NCCCn1ccnc1)N(Cc1ccncc1)c1ccccc1
144,O=C(NCCCn1ccnc1)NCc1ccncc1
145,O=C(NCCCc1ccc2[nH]cnc2c1)N(c1ccc(OCCCCc2ccncc2)cc1)C1CCCC1
146,O=C(NCCCc1ccc2[nH]cnc2c1)N(c1ccccc1)C1CCCC1
147,O=C(NCCCc1ccc2[nH]cnc2c1)NC1CCCC1
148,O=C(Cc1ccc(OCCCCc2ccncc2)cc1)NCCCn1ccnc1
149,O=C(Cc1ccccc1)NCCCn1ccnc1
150,O=C(NCCCn1ccnc1)N(CCN1CCNCC1)c1ccccc1
151,O=C(NCCCn1ccnc1)NCCN1CCNCC1
152,c1ccc(NCCN2CCNCC2)cc1
153,O=C(NCCCn1ccnc1)N(c1ccccc1)C1CCN(c2ccccc2)CC1
154,O=C(NCCCn1ccnc1)NC1CCN(c2ccccc2)CC1
155,c1ccc(N2CCCCC2)cc1
156,c1ccc(NC2CCN(c3ccccc3)CC2)cc1
157,O=C(NCCCc1ccc2[nH]cnc2c1)N(CC1CCCC1)c1ccc(OCCCCc2ccncc2)cc1
158,O=C(NCCCc1ccc2[nH]cnc2c1)N(CC1CCCC1)c1ccccc1
159,O=C(NCCCc1ccc2[nH]cnc2c1)NCC1CCCC1
160,O=C(NCCCn1ccnc1)C1(c2ccccc2)CCCC1
161,c1ccc(C2CCCC2)cc1
162,O=C(NCCCn1ccnc1)C1CCCC1
163,O=C(NCCCn1ccnc1)N(c1ccccc1)C1CCN(Cc2cccnc2)CC1
164,c1ccc(NC2CCN(Cc3cccnc3)CC2)cc1
165,c1cncc(CN2CCCCC2)c1
166,O=C(NCCCn1ccnc1)NC1CCN(Cc2cccnc2)CC1
167,O=C(NCCCn1ccnc1)C1(c2ccc(OCCCCc3ccncc3)cc2)CCCC1
168,c1cc(CCCCOc2ccc(C3CCCC3)cc2)ccn1
169,O=C(Cc1ccc(OCCCCc2ccncc2)cc1)NCCCc1ccc2[nH]cnc2c1
170,O=C(Cc1ccccc1)NCCCc1ccc2[nH]cnc2c1
171,O=C(NCCCn1ccnc1)N(CCN1CCOCC1)c1ccccc1
172,O=C(NCCCn1ccnc1)NCCN1CCOCC1
173,c1ccc(NCCN2CCOCC2)cc1
174,S=C(NCCCn1ccnc1)N(c1ccccc1)C1CC1
175,S=C(NCCCn1ccnc1)NC1CC1
176,O=C(NCCCn1ccnc1)N(c1ccc(OCCN2CCOCC2)cc1)C1CCNCC1
177,c1cc(OCCN2CCOCC2)ccc1NC1CCNCC1
178,O=C(NCCCn1ccnc1)N(CCc1ccncc1)c1ccccc1
179,O=C(NCCCn1ccnc1)NCCc1ccncc1
180,c1ccc(NCCc2ccncc2)cc1
181,O=C(NCCCn1ccnc1)C(Cc1ccccc1)c1ccccc1
182,c1ccc(CCc2ccccc2)cc1
183,O=C(CCc1ccccc1)NCCCn1ccnc1
184,O=C(NCCCc1ccc2[nH]cnc2c1)C1(c2ccc(OCCCCc3ccncc3)cc2)CC1
185,O=C(NCCCc1ccc2[nH]cnc2c1)C1(c2ccccc2)CC1
186,O=C(NCCCc1ccc2[nH]cnc2c1)C1CC1
187,O=C(NCCCn1ccnc1)N(c1ccccc1)c1ncco1
188,c1ccc(Nc2ncco2)cc1
189,c1cocn1
190,O=C(NCCCn1ccnc1)Nc1ncco1
191,O=C(NCCCn1ccnc1)C1(c2ccccc2)CCCCC1
192,c1ccc(C2CCCCC2)cc1
193,O=C(NCCCn1ccnc1)C1CCCCC1
194,O=C(NCCCn1ccnc1)C(Cc1cccnc1)c1ccccc1
195,c1ccc(CCc2cccnc2)cc1
196,O=C(CCc1cccnc1)NCCCn1ccnc1
197,O=c1c2ccccc2[nH]c(=S)n1CCCn1ccnc1
198,O=c1[nH]c(=S)[nH]c2ccccc12
199,O=c1c2cc(Cc3ccccc3)sc2[nH]c(=S)n1CCCn1ccnc1
200,O=c1[nH]c(=S)[nH]c2sc(Cc3ccccc3)cc12
201,O=c1[nH]c(=S)[nH]c2sccc12
202,O=c1c2ccsc2[nH]c(=S)n1CCCn1ccnc1
203,O=C(NCCCn1ccnc1)N(c1ccccc1)c1nccs1
204,O=C(NCCCn1ccnc1)Nc1nccs1
205,c1cscn1
206,c1ccc(Nc2nccs2)cc1
