,0
0,O=C(NCCCn1ccnc1)N(CC1CCCC1)c1ccc(OCCN2CCOCC2)cc1
1,c1cc(OCCN2CCOCC2)ccc1NCC1CCCC1
2,c1ccc(OCCN2CCOCC2)cc1
3,C1COCCN1
4,c1ccccc1
5,c1ccc(NCC2CCCC2)cc1
6,C1CCCC1
7,O=C(NCCCn1ccnc1)Nc1ccc(OCCN2CCOCC2)cc1
8,O=C(NCCCn1ccnc1)Nc1ccccc1
9,c1c[nH]cn1
10,O=C(NCCCn1ccnc1)N(CC1CCCC1)c1ccccc1
11,O=C(NCCCn1ccnc1)NCC1CCCC1
12,O=C(NCCCn1ccnc1)N(CC1CCCC1)c1ccc(OCCN2CCNCC2)cc1
13,c1cc(OCCN2CCNCC2)ccc1NCC1CCCC1
14,c1ccc(OCCN2CCNCC2)cc1
15,C1CNCCN1
16,O=C(NCCCn1ccnc1)Nc1ccc(OCCN2CCNCC2)cc1
17,S=C(NCCCn1ccnc1)N(c1ccc(OCCCCc2ccncc2)cc1)C1CCCC1
18,c1cc(CCCCOc2ccc(NC3CCCC3)cc2)ccn1
19,c1ccc(NC2CCCC2)cc1
20,c1ccc(OCCCCc2ccncc2)cc1
21,c1ccncc1
22,S=C(NCCCn1ccnc1)N(c1ccccc1)C1CCCC1
23,S=C(NCCCn1ccnc1)NC1CCCC1
24,S=C(NCCCn1ccnc1)Nc1ccccc1
25,S=C(NCCCn1ccnc1)Nc1ccc(OCCCCc2ccncc2)cc1
26,S=C(NCCCn1ccnc1)N(c1ccc(OCCCCc2ccncc2)cc1)C1CCCCC1
27,c1cc(CCCCOc2ccc(NC3CCCCC3)cc2)ccn1
28,c1ccc(NC2CCCCC2)cc1
29,C1CCCCC1
30,S=C(NCCCn1ccnc1)N(c1ccccc1)C1CCCCC1
31,S=C(NCCCn1ccnc1)NC1CCCCC1
32,O=C(NCCCn1ccnc1)N(c1ccccc1)C1CCNCC1
33,c1ccc(NC2CCNCC2)cc1
34,C1CCNCC1
35,O=C(NCCCn1ccnc1)NC1CCNCC1
36,S=C(NCCCn1ccnc1)N(c1ccc(OCCCCc2ccncc2)cc1)C1CCC1
37,c1cc(CCCCOc2ccc(NC3CCC3)cc2)ccn1
38,c1ccc(NC2CCC2)cc1
39,C1CCC1
40,S=C(NCCCn1ccnc1)N(c1ccccc1)C1CCC1
41,S=C(NCCCn1ccnc1)NC1CCC1
42,O=C(NCCCn1ccnc1)N(Cc1ccccc1)c1ccc(OCCCCc2ccncc2)cc1
43,c1ccc(CNc2ccc(OCCCCc3ccncc3)cc2)cc1
44,c1ccc(CNc2ccccc2)cc1
45,O=C(NCCCn1ccnc1)Nc1ccc(OCCCCc2ccncc2)cc1
46,O=C(NCCCn1ccnc1)N(Cc1ccccc1)c1ccccc1
47,O=C(NCCCn1ccnc1)NCc1ccccc1
48,S=C(NCCCn1ccnc1)N(Cc1ccccc1)c1ccccc1
49,S=C(NCCCn1ccnc1)NCc1ccccc1
50,O=C(NCCCn1ccnc1)N(c1ccc(OCCN2CCNCC2)cc1)C1CCCCC1
51,c1cc(OCCN2CCNCC2)ccc1NC1CCCCC1
52,O=C(NCCCn1ccnc1)N(c1ccccc1)C1CCCCC1
53,O=C(NCCCn1ccnc1)NC1CCCCC1
54,O=C(NCCCn1ccnc1)N(Cc1ccccc1)c1ccc(OCCN2CCNCC2)cc1
55,c1ccc(CNc2ccc(OCCN3CCNCC3)cc2)cc1
56,O=C(NCCCn1ccnc1)N(CCCCc1ccncc1)c1ccccc1
57,O=C(NCCCCc1ccncc1)NCCCn1ccnc1
58,c1ccc(NCCCCc2ccncc2)cc1
59,O=C(NCCCn1ccnc1)N(Cc1ccccc1)c1ccc(OCCc2ccncc2)cc1
60,c1ccc(CNc2ccc(OCCc3ccncc3)cc2)cc1
61,c1ccc(OCCc2ccncc2)cc1
62,O=C(NCCCn1ccnc1)Nc1ccc(OCCc2ccncc2)cc1
63,O=C(NCCCn1ccnc1)N(c1ccc(OCCN2CCNCC2)cc1)C1CCNCC1
64,c1cc(OCCN2CCNCC2)ccc1NC1CCNCC1
65,O=C(NCCCn1ccnc1)N(c1ccc(OCCc2ccncc2)cc1)C1CCCCC1
66,c1cc(CCOc2ccc(NC3CCCCC3)cc2)ccn1
67,O=C(NCCCn1ccnc1)N(Cc1ccccc1)c1ccc(OCCN2CCOCC2)cc1
68,c1ccc(CNc2ccc(OCCN3CCOCC3)cc2)cc1
69,O=C(NCCCn1ccnc1)N(c1ccc(OCCCCc2ccncc2)cc1)C1CCNCC1
70,c1cc(CCCCOc2ccc(NC3CCNCC3)cc2)ccn1
71,O=C(NCCCn1ccnc1)N(Cc1cccnc1)c1ccc(OCCN2CCNCC2)cc1
72,c1cncc(CNc2ccc(OCCN3CCNCC3)cc2)c1
73,c1ccc(NCc2cccnc2)cc1
74,O=C(NCCCn1ccnc1)N(Cc1cccnc1)c1ccccc1
75,O=C(NCCCn1ccnc1)NCc1cccnc1
76,O=C(NCCCn1ccnc1)N(CC1CCCC1)c1ccc(OCCCCc2ccncc2)cc1
77,c1cc(CCCCOc2ccc(NCC3CCCC3)cc2)ccn1
78,O=C(NCCCc1ccc2[nH]cnc2c1)N(Cc1ccccc1)c1ccc(OCCCCc2ccncc2)cc1
79,O=C(NCCCc1ccc2[nH]cnc2c1)Nc1ccc(OCCCCc2ccncc2)cc1
80,O=C(NCCCc1ccc2[nH]cnc2c1)Nc1ccccc1
81,c1ccc2[nH]cnc2c1
82,O=C(NCCCc1ccc2[nH]cnc2c1)N(Cc1ccccc1)c1ccccc1
83,O=C(NCCCc1ccc2[nH]cnc2c1)NCc1ccccc1
84,O=C(NCCCn1ccnc1)N(c1ccc(OCCCCc2ccncc2)cc1)C1CCCCC1
85,O=C(NCCCn1ccnc1)N(c1ccc(OCCc2ccncc2)cc1)C1CCNCC1
86,c1cc(CCOc2ccc(NC3CCNCC3)cc2)ccn1
87,O=C(NCCCn1ccnc1)N(c1ccccc1)c1ccc(OCCN2CCNCC2)cc1
88,c1ccc(Nc2ccc(OCCN3CCNCC3)cc2)cc1
89,c1ccc(Nc2ccccc2)cc1
90,O=C(NCCCn1ccnc1)N(c1ccccc1)c1ccccc1
91,O=C(NCCCc1ccc2[nH]cnc2c1)N(c1ccc(OCCCCc2ccncc2)cc1)C1CCCCC1
92,O=C(NCCCc1ccc2[nH]cnc2c1)N(c1ccccc1)C1CCCCC1
93,O=C(NCCCc1ccc2[nH]cnc2c1)NC1CCCCC1
94,S=C(NCCCn1ccnc1)N(CC1CCCC1)c1ccccc1
95,S=C(NCCCn1ccnc1)NCC1CCCC1
96,O=C(NCCCn1ccnc1)N(Cc1cccnc1)c1ccc(OCCN2CCOCC2)cc1
97,c1cncc(CNc2ccc(OCCN3CCOCC3)cc2)c1
98,O=C(NCCCn1ccnc1)N(c1ccc(OCCCCc2ccncc2)cc1)C1CC1
99,c1cc(CCCCOc2ccc(NC3CC3)cc2)ccn1
100,c1ccc(NC2CC2)cc1
101,C1CC1
102,O=C(NCCCn1ccnc1)N(c1ccccc1)C1CC1
103,O=C(NCCCn1ccnc1)NC1CC1
104,O=C(NCCCn1ccnc1)N(c1ccc(OCCCCc2ccncc2)cc1)C1CCC1
105,O=C(NCCCn1ccnc1)N(c1ccccc1)C1CCC1
106,O=C(NCCCn1ccnc1)NC1CCC1
107,S=C(NCCCn1ccnc1)N(Cc1cccnc1)c1ccccc1
108,S=C(NCCCn1ccnc1)NCc1cccnc1
109,S=C(NCCCn1ccnc1)N(Cc1ccncc1)c1ccccc1
110,S=C(NCCCn1ccnc1)NCc1ccncc1
111,c1ccc(NCc2ccncc2)cc1
112,O=C(NCCCn1ccnc1)N(c1ccc(OCCCCc2ccncc2)cc1)C1CCCC1
113,O=C(NCCCn1ccnc1)N(c1ccccc1)C1CCCC1
114,O=C(NCCCn1ccnc1)NC1CCCC1
115,O=C(NCCCn1ccnc1)N(c1ccccc1)C1CCN(Cc2ccccc2)CC1
116,O=C(NCCCn1ccnc1)NC1CCN(Cc2ccccc2)CC1
117,c1ccc(CN2CCCCC2)cc1
118,c1ccc(CN2CCC(Nc3ccccc3)CC2)cc1
119,O=C(NCCCn1ccnc1)C1(c2ccc(OCCCCc3ccncc3)cc2)CC1
120,c1cc(CCCCOc2ccc(C3CC3)cc2)ccn1
121,c1ccc(C2CC2)cc1
122,O=C(NCCCn1ccnc1)C1(c2ccccc2)CC1
123,O=C(NCCCn1ccnc1)C1CC1
124,O=C(NCCCn1ccnc1)N(c1ccc(OCCN2CCOCC2)cc1)C1CCCCC1
125,c1cc(OCCN2CCOCC2)ccc1NC1CCCCC1
126,O=C(NCCCc1ccc2[nH]cnc2c1)N(c1ccc(OCCCCc2ccncc2)cc1)C1CCC1
127,O=C(NCCCc1ccc2[nH]cnc2c1)N(c1ccccc1)C1CCC1
128,O=C(NCCCc1ccc2[nH]cnc2c1)NC1CCC1
129,O=C(NCCCn1ccnc1)N(c1ccccc1)c1ccc(OCCCCc2ccncc2)cc1
130,c1ccc(Nc2ccc(OCCCCc3ccncc3)cc2)cc1
131,O=C(NCCCc1ccc2[nH]cnc2c1)N(Cc1cccnc1)c1ccc(OCCCCc2ccncc2)cc1
132,c1cncc(CNc2ccc(OCCCCc3ccncc3)cc2)c1
133,O=C(NCCCc1ccc2[nH]cnc2c1)N(Cc1cccnc1)c1ccccc1
