,0
0,c1cncc(-c2cccnc2N2CCC(c3nnc[nH]3)CC2)c1
1,c1cncc(-c2cccnc2N2CCCCC2)c1
2,c1cncc(-c2cccnc2)c1
3,c1ccncc1
4,c1ccc(N2CCCCC2)nc1
5,C1CCNCC1
6,c1ccc(N2CCC(c3nnc[nH]3)CC2)nc1
7,c1nnc(C2CCNCC2)[nH]1
8,c1nnc[nH]1
9,c1ccc(C(NCCCn2ccnc2)c2nnn[nH]2)cc1
10,c1cn(CCCNCc2nnn[nH]2)cn1
11,c1c[nH]cn1
12,c1nnn[nH]1
13,c1ccc(CNCCCn2ccnc2)cc1
14,c1ccccc1
15,c1ccc(Cc2nnn[nH]2)cc1
16,O=C1NC(=NCCc2cccs2)C(c2ccccc2)N1CCCn1ccnc1
17,O=C1NC(=NCCc2cccs2)CN1CCCn1ccnc1
18,O=C1NCC(=NCCc2cccs2)N1
19,c1ccsc1
20,N=C1CNC(=O)N1
21,N=C1CN(CCCn2ccnc2)C(=O)N1
22,O=C1NC(=NCCc2cccs2)C(c2ccccc2)N1
23,N=C1NC(=O)NC1c1ccccc1
24,N=C1NC(=O)N(CCCn2ccnc2)C1c1ccccc1
25,O=C1C=CC(c2ccc3[nH]ccc3c2)N1CCCn1ccnc1
26,O=C1C=CCN1CCCn1ccnc1
27,O=C1C=CCN1
28,O=C1C=CC(c2ccc3[nH]ccc3c2)N1
29,c1ccc2[nH]ccc2c1
30,O=C1C=CC(Cc2ccccc2)N1CCCn1ccnc1
31,O=C1C=CC(Cc2ccccc2)N1
32,O=C1C=C(c2ccccc2)C(c2ccccc2)N1CCCn1ccnc1
33,O=C1C=CC(c2ccccc2)N1CCCn1ccnc1
34,O=C1C=CC(c2ccccc2)N1
35,O=C1C=C(c2ccccc2)CN1CCCn1ccnc1
36,O=C1C=C(c2ccccc2)CN1
37,O=C1C=C(c2ccccc2)C(c2ccccc2)N1
38,O=C1C=C(c2ccccc2)C(c2ccc3[nH]ccc3c2)N1CCCn1ccnc1
39,O=C1C=C(c2ccccc2)C(c2ccc3[nH]ccc3c2)N1
40,O=C1C=C(c2ccccc2)C(C2CCC=CO2)N1CCCn1ccnc1
41,O=C1C=CC(C2CCC=CO2)N1CCCn1ccnc1
42,O=C1C=CC(C2CCC=CO2)N1
43,C1=COCCC1
44,O=C1C=C(c2ccccc2)C(C2CCC=CO2)N1
45,O=C1C=C(c2ccccc2)C(c2c[nH]c3ccccc23)N1CCCn1ccnc1
46,O=C1C=CC(c2c[nH]c3ccccc23)N1CCCn1ccnc1
47,O=C1C=CC(c2c[nH]c3ccccc23)N1
48,O=C1C=C(c2ccccc2)C(c2c[nH]c3ccccc23)N1
49,O=C1C=C(c2ccccc2)C(Cc2ccccc2)N1CCCn1ccnc1
50,O=C1C=C(c2ccccc2)C(Cc2ccccc2)N1
51,O=C1C=C(c2ccccc2)C(c2ccco2)N1CCCn1ccnc1
52,O=C1C=CC(c2ccco2)N1CCCn1ccnc1
53,O=C1C=CC(c2ccco2)N1
54,c1ccoc1
55,O=C1C=C(c2ccccc2)C(c2ccco2)N1
56,O=C1C=C(c2c[nH]c3ccccc23)C(c2ccccc2)N1CCCn1ccnc1
57,O=C1C=C(c2c[nH]c3ccccc23)CN1CCCn1ccnc1
58,O=C1C=C(c2c[nH]c3ccccc23)CN1
59,O=C1C=C(c2c[nH]c3ccccc23)C(c2ccccc2)N1
60,O=C1C=C(c2c[nH]c3ccccc23)C(c2ccc3[nH]ccc3c2)N1CCCn1ccnc1
61,O=C1C=C(c2c[nH]c3ccccc23)C(c2ccc3[nH]ccc3c2)N1
62,O=C1C=C(c2c[nH]c3ccccc23)C(C2CCC=CO2)N1CCCn1ccnc1
63,O=C1C=C(c2c[nH]c3ccccc23)C(C2CCC=CO2)N1
64,O=C1C=C(c2c[nH]c3ccccc23)C(c2ccccn2)N1CCCn1ccnc1
65,O=C1C=CC(c2ccccn2)N1CCCn1ccnc1
66,O=C1C=CC(c2ccccn2)N1
67,O=C1C=C(c2c[nH]c3ccccc23)C(c2ccccn2)N1
68,O=C1C=C(c2c[nH]c3ccccc23)C(c2ccncc2)N1CCCn1ccnc1
69,O=C1C=CC(c2ccncc2)N1CCCn1ccnc1
70,O=C1C=CC(c2ccncc2)N1
71,O=C1C=C(c2c[nH]c3ccccc23)C(c2ccncc2)N1
72,O=C1C=C(c2ccccc2)C(c2cc[nH]n2)N1CCCn1ccnc1
73,O=C1C=CC(c2cc[nH]n2)N1CCCn1ccnc1
74,O=C1C=CC(c2cc[nH]n2)N1
75,c1cn[nH]c1
76,O=C1C=C(c2ccccc2)C(c2cc[nH]n2)N1
77,O=C1C=C(c2ccccc2)C(c2cccs2)N1CCCn1ccnc1
78,O=C1C=CC(c2cccs2)N1CCCn1ccnc1
79,O=C1C=CC(c2cccs2)N1
80,O=C1C=C(c2ccccc2)C(c2cccs2)N1
81,O=C1C=C(c2ccccc2)C(C2CC2)N1CCCn1ccnc1
82,O=C1C=CC(C2CC2)N1CCCn1ccnc1
83,O=C1C=CC(C2CC2)N1
84,C1CC1
85,O=C1C=C(c2ccccc2)C(C2CC2)N1
86,O=C1C=CC(C2=CCCCC2)N1CCCn1ccnc1
87,O=C1C=CC(C2=CCCCC2)N1
88,C1=CCCCC1
